# quality nonzero rmse_coeff
1 5 46.0153
2 5 45.9866
3 5 44.4409
4 9 37.9452
5 9 34.0918
6 10 32.5398
7 10 31.7512
8 11 31.4368
9 12 30.7527
10 13 30.5071
11 13 29.4693
12 13 28.5524
13 14 27.7146
14 16 26.0489
15 16 24.4571
16 17 23.4093
17 17 22.2877
18 18 21.1140
19 18 20.3822
20 18 19.8474
21 18 19.4659
22 18 19.2323
23 18 19.1738
24 19 18.8671
25 19 18.4803
26 19 18.1195
27 20 17.8530
28 21 17.5586
29 21 17.0831
30 21 16.6974
31 21 16.3943
32 21 16.1847
33 21 15.9752
34 21 15.8939
35 21 15.7750
36 22 15.7630
37 22 15.7227
38 22 15.6654
39 23 15.3918
40 23 14.9340
41 23 14.2185
42 23 14.0018
43 24 13.5948
44 24 13.2387
45 25 12.9689
46 25 12.6035
47 25 12.3875
48 25 12.2037
49 25 11.9817
50 26 11.8198
51 26 11.6648
52 26 11.4686
53 26 11.3341
54 26 11.2163
55 26 11.1591
56 26 11.0442
57 28 11.0012
58 28 10.9234
59 29 10.8776
60 29 10.7948
61 29 10.6489
62 30 10.4635
63 30 10.1954
64 31 9.9094
65 31 9.5783
66 31 9.0860
67 31 8.8064
68 31 8.6469
69 31 8.4899
70 32 8.4276
71 32 8.1300
72 32 7.7907
73 32 7.5121
74 32 7.1024
75 32 6.8169
76 32 6.6357
77 32 6.7181
78 32 6.7376
79 33 6.7205
80 33 6.2018
81 33 6.0703
82 35 6.1210
83 36 5.6566
84 37 5.3348
85 38 5.3626
86 38 4.9520
87 39 5.0255
88 39 4.3981
89 39 4.0797
90 40 4.0170
91 41 3.7058
92 45 3.3868
93 47 2.8779
94 48 2.2946
95 49 1.4312
96 49 1.0844
97 49 1.0643
98 49 0.5944
99 49 0.2946
100 49 0.2780
